from,to,distance
15974,985,64.8
12517,30,7.4
11441,8244,7.2
7974,12246,14.4
6725,2720,80.6
17945,7715,24.3
14312,19975,79.6
13677,6436,90.5
16500,13732,88.5
1688,8008,20.8
10312,11982,52.5
2821,17952,64.7
15961,4091,15.1
11349,19952,84.7
7005,11306,55.8
10779,15395,83.4
8084,19794,77.6
12430,18389,84.7
15137,13940,75.0
2156,15094,85.7
17834,7515,15.5
10369,8871,90.3
13333,2722,9.3
17058,15902,50.4
6798,6487,82.8
2062,17501,53.7
15568,12389,94.8
12456,13030,32.9
13668,19980,68.9
333,3740,51.4
12418,19576,93.5
11284,3440,98.1
14077,1936,31.6
9646,16027,12.7
11764,15293,17.2
10013,19303,19.2
5423,7347,39.2
8403,17428,8.2
6393,4862,71.1
15284,18405,91.7
15790,9364,73.3
14744,14633,57.7
12613,18789,60.2
13806,10331,39.5
6001,16359,85.1
4970,6438,55.3
8461,911,9.8
4119,1956,47.7
4417,13922,51.9
755,10118,60.9
4542,14845,7.4
14882,16174,63.6
6697,8502,81.2
10837,2708,81.9
17961,3532,86.4
11389,1268,87.3
15371,13686,7.1
18989,15286,69.5
1885,15203,25.9
18998,12191,26.3
4879,9649,28.0
4676,17152,85.6
7691,8354,24.0
11581,10498,84.6
18337,8140,76.0
14871,12366,33.4
1905,18736,75.0
569,8175,94.9
19865,11399,8.8
88,10732,13.6
3749,15002,99.7
3109,5651,56.6
10580,3678,6.4
18947,9127,65.7
11229,2990,64.0
627,1096,26.5
8081,15935,51.9
2892,82,76.5
15271,18445,25.1
7000,5260,59.1
16983,10926,6.4
7271,7850,77.4
7911,10375,70.6
10332,2172,65.6
1242,11364,27.0
13302,12105,70.3
18287,13041,61.4
7705,14215,64.3
17008,16958,23.0
833,450,51.1
10726,10664,32.2
12109,5308,84.2
8696,19635,93.6
4856,15868,15.2
1461,19577,82.2
16669,15333,77.7
6367,11437,99.3
12589,14470,6.2
7728,5160,98.6
6658,3896,87.6
375,3724,58.1
15572,812,78.2
5122,8282,71.6
5552,15204,26.0
16111,13654,57.6
557,2050,90.7
