id,lat,lon,earliest,latest
1,38.9156,-77.0351,43,60
2,38.9122,-77.0314,68,100
3,38.9016,-77.0268,90,137
4,38.912,-77.0308,4,49
5,38.909,-77.0366,82,130
6,38.9189,-77.0431,94,110
7,38.9021,-77.0335,37,77
8,38.9058,-77.0438,54,98
9,38.9082,-77.0435,77,104
10,38.9012,-77.0371,68,112
11,38.909,-77.0274,15,42
12,38.9182,-77.0415,57,70
13,38.9093,-77.0307,3,50
14,38.9036,-77.0257,53,91
15,38.9178,-77.0255,28,76
16,38.9121,-77.0281,11,53
17,38.9134,-77.0253,26,52
18,38.9095,-77.0417,91,134
19,38.9044,-77.0305,94,107
20,38.9143,-77.0364,59,93
21,38.913,-77.0352,27,61
22,38.9162,-77.0386,47,63
23,38.9077,-77.0379,27,45
24,38.919,-77.0409,60,92
25,38.9168,-77.0327,67,112
26,38.9062,-77.0424,27,61
27,38.9128,-77.0423,72,91
28,38.9145,-77.0418,16,33
29,38.9196,-77.0435,95,136
30,38.9109,-77.0258,94,138
31,38.9174,-77.0394,3,21
32,38.9001,-77.0423,0,28
33,38.9165,-77.03,69,79
34,38.9063,-77.0364,47,78
35,38.9172,-77.027,22,62
36,38.9034,-77.0285,62,85
37,38.9085,-77.0413,22,39
38,38.9072,-77.0365,76,105
39,38.9188,-77.0345,82,119
40,38.915,-77.0278,18,61
41,38.9125,-77.0299,29,64
42,38.9093,-77.0388,98,139
43,38.9149,-77.0273,59,69
44,38.906,-77.0341,42,86
45,38.9146,-77.0423,73,115
46,38.9044,-77.0333,51,65
47,38.9084,-77.0269,80,90
48,38.9178,-77.0381,35,62
49,38.9074,-77.0386,16,53
50,38.9137,-77.0399,42,57
51,38.9075,-77.0398,54,90
52,38.9068,-77.0424,36,63
53,38.9195,-77.0379,8,40
54,38.9103,-77.0318,92,140
55,38.9116,-77.0305,63,105
56,38.911,-77.0303,9,31
57,38.9169,-77.0442,70,106
58,38.9079,-77.0411,82,129
59,38.9034,-77.0273,13,34
60,38.9024,-77.0275,91,101
61,38.9163,-77.0366,91,115
62,38.9187,-77.0345,47,88
63,38.9175,-77.0393,57,86
64,38.916,-77.0346,17,43
65,38.9026,-77.0369,82,96
66,38.9117,-77.0397,48,80
67,38.9038,-77.0357,43,56
68,38.9191,-77.0438,87,97
69,38.9144,-77.0406,39,64
70,38.9169,-77.0405,2,37
71,38.9147,-77.0395,83,125
72,38.9038,-77.0384,7,30
73,38.9154,-77.03,71,86
74,38.9168,-77.0312,86,136
75,38.9119,-77.0259,27,57
76,38.9103,-77.037,14,48
77,38.9097,-77.0436,42,82
78,38.9035,-77.038,88,116
79,38.9105,-77.0438,91,108
80,38.9169,-77.0314,55,81
81,38.913,-77.026,9,40
82,38.9157,-77.0303,44,82
83,38.9116,-77.0269,55,77
84,38.9162,-77.036,60,99
85,38.902,-77.0375,97,107
86,38.912,-77.0289,95,136
87,38.9167,-77.0319,45,66
88,38.9111,-77.0347,35,54
89,38.9001,-77.0309,64,88
90,38.9165,-77.0348,24,50
91,38.9162,-77.0259,58,88
92,38.9041,-77.0378,80,120
93,38.9157,-77.0402,22,56
94,38.9124,-77.0316,36,72
95,38.9138,-77.042,72,105
96,38.9001,-77.0292,24,70
97,38.9118,-77.0339,45,56
98,38.9157,-77.0341,59,77
99,38.9184,-77.0273,82,94
100,38.909,-77.0317,74,92
101,38.9072,-77.0388,19,63
102,38.9055,-77.0305,74,121
103,38.9091,-77.0405,66,84
104,38.9024,-77.0414,50,71
105,38.9088,-77.03,5,29
106,38.9189,-77.0397,89,129
107,38.9059,-77.0355,91,130
108,38.9124,-77.0287,99,117
109,38.9086,-77.038,90,122
110,38.9014,-77.0257,18,28
111,38.9089,-77.043,7,49
112,38.9164,-77.0351,62,78
113,38.9023,-77.026,15,28
114,38.9185,-77.033,35,46
115,38.9197,-77.0408,57,100
116,38.9018,-77.0324,86,136
117,38.9167,-77.0407,77,114
118,38.9157,-77.027,84,131
119,38.9097,-77.0266,42,90
120,38.9096,-77.0288,21,38
121,38.9174,-77.0306,63,100
122,38.9086,-77.0405,12,41
123,38.9141,-77.032,4,28
124,38.9015,-77.0286,36,75
125,38.9043,-77.027,81,111
126,38.9137,-77.0373,3,24
127,38.9156,-77.0331,49,67
128,38.9009,-77.0285,86,119
129,38.9093,-77.0437,39,81
130,38.9128,-77.032,44,78
131,38.9101,-77.0318,15,48
132,38.9083,-77.0285,17,61
133,38.9081,-77.031,94,133
134,38.9132,-77.0321,40,62
135,38.9175,-77.0443,33,46
136,38.9099,-77.0319,19,58
137,38.9196,-77.0405,61,76
138,38.9142,-77.038,0,23
139,38.9035,-77.0349,65,106
140,38.9035,-77.0415,8,21
141,38.9084,-77.0425,25,37
142,38.915,-77.0415,70,106
143,38.9147,-77.028,42,58
144,38.9172,-77.033,78,113
145,38.917,-77.0375,39,80
146,38.9069,-77.0407,99,130
147,38.9181,-77.0257,49,84
148,38.9082,-77.0378,20,49
149,38.9162,-77.0272,44,56
150,38.9101,-77.0419,91,113
151,38.9128,-77.0283,82,120
152,38.9178,-77.0327,22,65
153,38.9162,-77.0391,12,47
154,38.9061,-77.0297,10,53
155,38.9042,-77.0416,87,125
156,38.9178,-77.0362,20,44
157,38.9093,-77.0349,61,72
158,38.9061,-77.0326,94,108
159,38.9058,-77.0319,33,79
160,38.915,-77.0288,99,116
161,38.9061,-77.0433,9,44
162,38.9109,-77.0301,86,122
163,38.919,-77.0406,97,114
164,38.9067,-77.0388,25,56
165,38.9139,-77.0391,7,29
166,38.9026,-77.0428,39,87
167,38.9182,-77.0337,11,40
168,38.9021,-77.0447,11,22
169,38.9005,-77.0407,20,63
170,38.9056,-77.0402,20,45
171,38.9151,-77.0414,85,130
172,38.9135,-77.0379,91,104
173,38.9128,-77.035,100,135
174,38.9075,-77.0256,16,50
175,38.9191,-77.0298,9,43
176,38.9179,-77.0281,59,100
177,38.9063,-77.0385,71,116
178,38.9078,-77.039,96,117
179,38.9101,-77.0303,68,89
180,38.9115,-77.0395,61,99
181,38.9008,-77.0253,46,68
182,38.9022,-77.0402,47,87
183,38.9009,-77.0396,96,116
184,38.9071,-77.0332,53,64
185,38.9037,-77.0352,96,142
186,38.9097,-77.0414,61,93
187,38.9184,-77.0344,13,62
188,38.9044,-77.0385,39,71
189,38.9181,-77.0281,61,105
190,38.9001,-77.0447,14,61
191,38.9108,-77.0409,74,95
192,38.9054,-77.028,31,53
193,38.9049,-77.0261,89,115
194,38.9107,-77.0391,7,49
195,38.9139,-77.026,15,42
196,38.902,-77.0411,6,55
197,38.9103,-77.0381,52,93
198,38.9191,-77.0336,53,95
199,38.9123,-77.0291,19,55
200,38.9138,-77.0373,65,115
201,38.907,-77.0267,90,113
202,38.9007,-77.044,34,81
203,38.9063,-77.0355,84,131
204,38.9014,-77.0327,58,75
205,38.9052,-77.042,99,144
206,38.9093,-77.0341,54,76
207,38.9012,-77.0425,30,58
208,38.9195,-77.0399,43,80
209,38.9093,-77.0426,62,77
210,38.9179,-77.0275,13,59
211,38.9145,-77.036,30,50
212,38.9128,-77.0318,81,98
213,38.9121,-77.0298,76,114
214,38.9012,-77.03,58,108
215,38.9168,-77.0311,23,46
216,38.9043,-77.0307,26,44
217,38.9103,-77.0411,52,70
