from,to,distance
4051,6816,18.3
7677,6691,7.8
8293,4574,90.0
1700,1937,31.2
6259,3229,54.6
7969,9928,12.1
1141,4807,82.4
6072,6921,5.6
6762,8876,22.0
5336,3642,85.2
5127,9690,66.1
8275,4820,99.4
8193,9371,95.8
757,2626,60.7
9476,3285,48.3
621,7990,54.2
5645,6887,91.8
5834,6671,17.3
9555,5084,14.3
3090,168,77.1
2400,6370,91.5
3508,3770,54.6
5311,370,44.0
5099,2273,72.3
3233,4002,16.3
4103,9767,76.2
6432,338,97.7
8233,1319,45.6
2355,6957,77.4
4749,345,86.2
1886,257,29.0
805,4770,10.9
6378,9513,19.0
352,3438,96.8
6888,1508,62.5
4280,3802,12.2
3020,5487,61.7
7108,8354,19.2
1751,7270,62.2
7543,3142,52.2
2196,7331,31.0
2573,1274,36.1
1542,9662,31.3
3843,6071,74.4
6226,3120,67.2
3953,3699,30.2
9778,8434,38.6
9197,9442,83.8
5387,94,44.6
6615,8181,55.2
9256,5323,93.2
8367,8027,57.0
5582,6230,97.8
7511,631,75.8
4752,7222,77.7
3944,1794,44.3
4648,9286,97.1
8683,1826,54.6
6456,4091,56.3
8618,6124,51.6
6198,7586,85.1
6136,4711,65.6
1089,874,85.0
9131,1767,77.4
7816,4003,74.3
889,2793,53.1
4604,5092,33.8
2868,6775,43.1
6408,7139,18.9
9553,2194,96.3
4939,8562,7.9
7820,1431,8.1
5137,955,78.8
2250,1890,64.2
3309,1525,99.1
3518,8359,32.0
4039,7726,69.2
5775,4510,41.0
4455,9258,66.2
6285,8452,59.6
447,5484,8.5
6831,6006,47.5
1273,235,70.9
9401,1393,30.4
6082,1068,87.9
6497,1975,50.6
306,436,73.9
5655,6541,67.9
7178,9960,96.1
6370,1062,44.9
6272,6508,51.1
711,5215,59.6
1211,6286,15.0
9289,5951,99.9
1465,7262,76.1
3109,854,81.6
1161,5122,40.2
4296,9294,61.3
6126,773,44.3
8513,6348,11.1
3169,5735,98.5
3386,9516,52.6
8491,2085,45.2
8199,8419,22.0
6178,9557,63.0
6512,9621,7.1
6858,3309,38.9
3472,8001,58.3
7677,2705,7.3
8940,7727,96.7
6371,2452,33.5
2047,2287,56.4
4966,6245,25.6
8830,4177,90.9
7735,4917,89.0
140,1998,22.4
8171,9354,86.5
8882,8773,81.8
4304,4904,24.7
8212,6393,12.9
5091,3155,61.0
3299,4542,75.0
4987,4426,43.3
1854,9603,11.3
5716,2839,17.8
9696,910,63.2
8949,1142,85.4
3019,8866,75.3
7277,8421,11.9
9264,976,63.6
3394,9302,11.9
6812,1778,85.8
9010,2171,53.7
572,5550,17.4
6579,2498,7.9
6058,9738,79.7
7852,826,16.4
248,5061,28.9
1010,4374,83.7
6910,4577,45.3
1805,4888,95.0
8417,9629,38.0
672,1785,92.8
6706,1725,74.2
2776,6202,41.2
4841,9843,56.1
3228,1200,89.3
873,7359,44.7
6145,4197,86.6
9262,6721,33.7
3607,5343,23.1
2613,2426,74.4
5188,5199,17.3
8935,2632,67.8
5625,7787,54.2
3790,8356,44.1
7163,2767,71.7
4196,8571,61.1
6997,7630,50.8
3961,7148,84.9
1002,5735,92.1
7658,4910,39.2
8664,9506,36.8
758,3460,82.1
5147,898,71.7
1002,100,23.3
1674,6102,44.5
2653,6455,40.1
4092,3353,38.1
1017,1265,73.2
4291,8630,78.9
8587,3011,57.1
9371,5366,52.8
8809,7817,65.9
7113,6684,48.7
6093,4756,29.6
8997,9004,87.8
4952,3238,89.2
9223,6533,47.4
2148,7585,76.0
6539,9916,65.1
6331,842,83.3
1439,5607,39.9
6209,2785,59.7
812,5301,55.9
7484,5582,79.3
4775,3505,74.5
1481,6619,44.6
4640,9356,9.0
7060,7429,28.7
8058,3739,55.4
775,4640,94.7
8649,4039,96.4
2484,1609,24.6
6780,793,82.9
1587,7547,83.5
5053,3797,86.6
7639,2059,56.1
7023,3245,11.3
3491,5617,7.2
2576,6244,98.3
4182,1131,42.6
8254,382,28.7
1646,7414,14.6
3953,658,59.9
6036,2041,42.7
713,5930,39.0
7837,1188,18.5
6902,82,83.1
5475,762,14.7
3939,8544,68.8
9367,5705,69.4
