from,to,distance
80,69,45.9
49,92,26.2
76,31,99.1
46,15,14.5
42,83,45.2
70,52,46.3
67,13,74.0
73,21,71.4
12,84,20.6
49,100,34.9
72,91,28.9
72,98,17.8
87,66,21.4
35,55,46.3
33,82,26.9
40,35,70.3
80,6,66.6
80,30,25.3
32,46,37.1
81,70,14.9
83,55,60.3
48,29,72.4
42,62,52.9
98,97,31.2
62,69,15.1
33,54,22.2
85,15,39.8
9,88,90.4
38,71,76.3
100,92,86.6
47,79,52.2
1,39,55.8
75,46,89.0
52,55,90.4
77,49,73.1
96,30,47.6
79,89,43.7
58,32,68.7
13,29,22.9
23,79,17.9
28,90,62.3
4,87,64.1
95,91,72.5
66,60,58.4
67,11,43.3
80,52,22.5
62,15,45.7
53,37,21.3
44,52,67.5
85,13,96.6
18,93,14.0
100,73,40.8
18,99,75.4
85,92,16.4
60,2,78.3
16,95,30.8
1,22,61.7
7,89,59.8
17,61,47.9
93,66,91.6
61,53,12.1
73,74,7.4
66,28,45.0
58,59,25.5
1,65,50.9
93,77,67.3
53,76,46.5
71,59,58.4
2,28,16.1
85,73,22.1
51,61,85.4
36,41,47.8
38,55,75.6
6,94,90.8
9,72,56.5
61,62,17.8
47,3,97.4
34,57,40.0
34,85,50.6
81,88,45.8
30,28,42.8
72,29,72.3
1,95,18.8
27,42,99.6
62,28,72.3
55,27,44.2
16,75,71.5
22,13,84.3
41,94,67.8
7,53,59.0
7,99,35.6
89,36,46.1
34,63,98.4
44,36,73.1
46,36,98.4
97,77,10.8
43,31,29.3
19,65,21.5
58,25,55.8
96,75,15.0
54,76,41.7
5,98,57.9
35,61,37.9
46,83,44.2
48,15,92.0
53,35,16.4
59,22,39.1
8,62,47.1
14,97,63.1
73,88,78.8
65,60,47.5
63,29,58.1
65,83,23.1
86,84,14.2
26,24,54.6
95,13,44.1
42,98,73.2
78,84,99.3
93,53,38.1
1,35,48.8
1,46,69.4
91,5,22.8
15,73,73.5
26,38,29.6
87,23,38.8
26,62,82.4
28,20,95.7
91,75,27.4
7,15,18.1
86,31,74.0
