id,lat,lon,earliest,latest
1,38.9152,-77.0391,36,61
2,38.9047,-77.0418,86,99
3,38.9088,-77.0438,6,44
4,38.9145,-77.0348,89,135
5,38.9051,-77.0311,48,75
6,38.9053,-77.035,49,84
7,38.9061,-77.0298,30,43
8,38.9027,-77.0441,93,140
9,38.9128,-77.0354,37,77
10,38.9109,-77.0409,94,110
11,38.9018,-77.0321,76,86
12,38.9059,-77.0342,43,65
13,38.9099,-77.0386,74,96
14,38.9063,-77.0384,69,85
15,38.9127,-77.0358,76,107
16,38.9072,-77.0422,70,105
17,38.9117,-77.0376,65,109
18,38.9186,-77.026,9,30
19,38.9132,-77.0261,100,139
20,38.9154,-77.0285,46,59
21,38.9109,-77.0381,24,72
22,38.9116,-77.0448,8,58
23,38.9035,-77.0348,71,96
24,38.903,-77.0402,4,35
25,38.9107,-77.0378,25,52
26,38.9057,-77.0369,52,96
27,38.9063,-77.0267,31,77
28,38.9191,-77.0269,52,70
29,38.9193,-77.0344,30,69
30,38.9199,-77.0382,73,85
31,38.9159,-77.0266,11,29
32,38.9116,-77.0264,13,33
33,38.9091,-77.0267,86,98
34,38.914,-77.0383,24,41
35,38.9198,-77.0319,15,64
36,38.9087,-77.0436,88,110
37,38.9072,-77.034,82,108
38,38.9033,-77.0301,72,115
39,38.9167,-77.0307,51,83
40,38.9018,-77.0324,49,80
41,38.9052,-77.025,10,59
42,38.9067,-77.0346,71,106
43,38.9116,-77.0402,41,66
44,38.9183,-77.0354,71,93
45,38.9092,-77.0275,79,123
46,38.9081,-77.0284,68,110
47,38.9182,-77.035,22,55
48,38.9162,-77.0318,45,70
49,38.9041,-77.036,79,122
50,38.9007,-77.0323,14,52
51,38.9141,-77.0294,8,36
52,38.9101,-77.0264,70,97
53,38.9174,-77.0305,9,20
54,38.9177,-77.0375,88,135
55,38.9164,-77.0375,71,115
56,38.9049,-77.0412,90,129
57,38.9061,-77.0318,82,100
58,38.9192,-77.0285,16,56
59,38.9158,-77.0398,70,85
60,38.9133,-77.025,21,58
61,38.9055,-77.0315,17,37
62,38.9161,-77.0371,42,79
63,38.9116,-77.0292,87,99
64,38.9192,-77.0251,45,66
65,38.9063,-77.0319,6,41
66,38.9125,-77.0285,31,65
67,38.9125,-77.0393,80,92
68,38.9023,-77.0342,70,119
69,38.916,-77.0426,93,123
70,38.9006,-77.0395,71,96
71,38.9163,-77.0329,89,113
72,38.9186,-77.0323,31,68
73,38.9044,-77.0408,95,124
74,38.9001,-77.035,29,76
75,38.9182,-77.0369,16,66
76,38.9186,-77.0399,58,96
77,38.9167,-77.0322,3,34
78,38.9194,-77.0386,22,69
79,38.9176,-77.0304,32,45
80,38.9032,-77.0365,55,102
81,38.9111,-77.0422,0,18
82,38.9122,-77.0325,98,133
83,38.9109,-77.0383,79,117
84,38.9162,-77.0356,51,95
85,38.9125,-77.0403,57,80
86,38.9028,-77.0381,34,70
87,38.9104,-77.0406,74,84
88,38.911,-77.0346,95,121
89,38.9036,-77.0333,72,109
90,38.9079,-77.0395,4,36
91,38.9187,-77.0297,3,26
92,38.9034,-77.0333,10,23
93,38.9116,-77.0273,65,80
94,38.9076,-77.0279,62,99
95,38.9094,-77.0425,14,35
96,38.9127,-77.0403,2,47
97,38.9096,-77.042,31,69
98,38.9198,-77.034,65,98
99,38.9158,-77.0281,45,88
100,38.9117,-77.027,34,82
