id,lat,lon,earliest,latest
1,38.911,-77.0343,19,51
2,38.9059,-77.0407,34,51
3,38.9171,-77.0253,29,61
4,38.9114,-77.0434,19,63
5,38.9023,-77.0355,21,36
6,38.9095,-77.0317,10,27
7,38.9076,-77.0251,99,146
8,38.9151,-77.0264,73,91
9,38.9159,-77.037,56,95
10,38.9184,-77.0293,96,121
11,38.9151,-77.0361,71,99
12,38.9145,-77.0349,100,125
13,38.9153,-77.0324,19,61
14,38.9054,-77.0253,77,118
15,38.9111,-77.0259,37,47
16,38.9058,-77.0366,9,22
17,38.9131,-77.0274,15,29
18,38.9047,-77.0308,57,81
19,38.9037,-77.0332,94,120
20,38.9179,-77.0333,92,109
21,38.9189,-77.0387,12,36
22,38.906,-77.0348,60,74
23,38.9151,-77.0281,99,133
24,38.9129,-77.0399,55,67
25,38.9052,-77.0301,9,48
26,38.9184,-77.0316,75,113
27,38.9023,-77.0406,83,133
28,38.9197,-77.0325,26,52
29,38.9148,-77.0357,48,69
30,38.9046,-77.0388,7,37
31,38.9155,-77.0255,2,22
32,38.9193,-77.0413,98,119
33,38.9098,-77.0338,40,69
34,38.9161,-77.0381,69,119
35,38.9164,-77.0381,14,27
36,38.9171,-77.0315,91,109
37,38.9016,-77.0343,1,50
38,38.9131,-77.0266,14,39
39,38.9077,-77.0362,30,49
40,38.9172,-77.028,66,80
41,38.9061,-77.0266,96,138
42,38.9115,-77.0302,3,40
43,38.9109,-77.0327,18,57
44,38.9169,-77.0334,5,20
45,38.9169,-77.0362,47,70
46,38.917,-77.0353,18,59
47,38.9193,-77.0321,95,129
48,38.9051,-77.0346,22,72
49,38.9096,-77.0393,74,95
50,38.9028,-77.0324,42,83
51,38.9071,-77.0446,30,63
52,38.9115,-77.0449,94,132
53,38.9148,-77.0307,28,52
54,38.9089,-77.0405,40,74
55,38.9074,-77.0426,60,97
56,38.9008,-77.0263,3,36
57,38.9152,-77.028,89,132
58,38.9145,-77.0372,60,90
59,38.9023,-77.0261,87,103
60,38.9131,-77.0383,70,113
61,38.9085,-77.0301,58,97
62,38.9124,-77.0327,29,73
63,38.915,-77.029,90,122
64,38.9047,-77.0418,87,114
65,38.9105,-77.0339,70,92
66,38.9048,-77.0441,77,93
67,38.9083,-77.0328,34,49
68,38.9157,-77.0432,24,46
69,38.9106,-77.0264,89,106
70,38.9108,-77.0344,96,116
71,38.9192,-77.0416,64,74
72,38.9043,-77.0264,62,100
73,38.9135,-77.0321,92,139
74,38.9117,-77.0392,72,113
75,38.9161,-77.0298,83,126
76,38.9089,-77.0333,4,54
77,38.9125,-77.0304,10,52
78,38.9109,-77.0327,67,95
79,38.9126,-77.0298,18,67
80,38.904,-77.0359,24,69
81,38.9134,-77.0432,43,86
82,38.9068,-77.0357,89,100
83,38.9007,-77.0366,27,67
84,38.9066,-77.0375,84,124
85,38.9043,-77.0419,52,96
86,38.9061,-77.0428,87,99
87,38.902,-77.0347,52,77
88,38.9187,-77.0385,73,96
89,38.9135,-77.0364,29,58
90,38.9143,-77.0389,29,54
91,38.913,-77.0361,71,84
92,38.9155,-77.0314,76,101
93,38.903,-77.0326,95,112
94,38.9126,-77.0288,84,129
95,38.9164,-77.0296,50,100
96,38.9143,-77.0432,87,121
97,38.9071,-77.0434,82,122
98,38.908,-77.0349,66,110
99,38.9181,-77.0331,30,73
100,38.9114,-77.0277,40,56
101,38.9028,-77.0307,33,79
102,38.9048,-77.0311,60,102
103,38.9018,-77.0449,95,143
