from,to,distance
32,24,81.0
9,7,61.2
47,12,71.4
1,47,67.1
34,48,50.8
5,40,26.5
8,34,97.0
39,8,67.4
29,19,36.3
9,38,15.1
32,8,41.6
18,34,51.5
8,19,20.6
30,49,36.1
16,8,73.0
28,4,11.7
6,49,97.7
28,39,41.4
5,29,55.3
39,2,46.9
43,8,66.6
13,10,87.3
49,21,80.3
10,5,87.2
22,23,13.2
27,24,81.4
35,38,94.5
46,38,58.5
10,30,86.4
25,35,16.3
10,43,20.8
26,33,71.6
5,20,52.3
36,29,46.3
16,9,27.9
37,50,46.2
28,16,82.2
38,30,19.4
29,13,45.3
6,32,41.7
12,35,49.9
20,45,23.2
45,13,84.9
46,28,94.3
40,25,89.8
23,27,89.7
49,16,87.2
10,22,77.6
16,50,38.1
22,30,24.3
24,14,81.4
25,22,42.9
2,43,51.7
2,37,8.3
7,23,49.8
22,4,10.5
6,43,34.3
48,45,48.5
36,1,37.1
6,20,16.1
43,14,79.5
3,50,56.6
48,9,40.1
14,2,70.0
46,21,86.3
