id,lat,lon,earliest,latest
1,38.9113,-77.0282,2,34
2,38.9101,-77.0318,67,81
3,38.9043,-77.0258,79,105
4,38.9105,-77.0447,80,92
5,38.9024,-77.0337,4,27
6,38.912,-77.0388,3,37
7,38.9032,-77.0449,28,51
8,38.9098,-77.0335,59,88
9,38.9149,-77.0314,35,66
10,38.9081,-77.0255,73,90
11,38.9125,-77.0444,100,150
12,38.9137,-77.0362,96,135
13,38.9001,-77.0274,90,128
14,38.9109,-77.0387,20,45
15,38.9015,-77.0291,46,84
16,38.9109,-77.0429,45,67
17,38.9037,-77.0409,49,78
18,38.9159,-77.0304,65,111
19,38.9117,-77.0364,79,99
20,38.911,-77.0404,76,97
21,38.9001,-77.0265,67,94
22,38.9061,-77.0384,76,87
23,38.9173,-77.042,98,139
24,38.9172,-77.0377,66,79
25,38.9043,-77.0312,98,115
26,38.9046,-77.0387,54,69
27,38.9074,-77.0351,37,62
28,38.9044,-77.0421,96,124
29,38.9155,-77.0417,15,65
30,38.9195,-77.0355,15,54
31,38.9138,-77.0288,12,33
32,38.9133,-77.0365,9,23
33,38.9036,-77.0354,18,62
34,38.9155,-77.0297,56,104
35,38.9079,-77.0374,58,71
36,38.9192,-77.0286,94,135
37,38.9126,-77.035,84,133
38,38.9189,-77.031,60,105
39,38.912,-77.0394,41,62
40,38.9008,-77.0311,63,105
41,38.9128,-77.0416,38,73
42,38.9056,-77.0373,75,85
43,38.9069,-77.0446,77,122
44,38.9023,-77.0307,83,95
45,38.9017,-77.0271,49,93
46,38.9145,-77.0317,21,69
47,38.9001,-77.0397,44,61
48,38.906,-77.04,44,88
49,38.9111,-77.0387,4,47
50,38.9059,-77.0305,37,48
51,38.9181,-77.0418,29,66
52,38.9186,-77.0435,28,63
53,38.9014,-77.0284,35,53
54,38.9191,-77.0275,72,107
55,38.9076,-77.0391,7,52
56,38.9018,-77.0354,57,93
57,38.9139,-77.0308,80,109
58,38.9037,-77.036,91,140
59,38.9122,-77.0362,43,84
60,38.9143,-77.0386,68,102
61,38.9045,-77.0431,40,84
62,38.9159,-77.0396,14,61
63,38.9176,-77.0346,87,103
64,38.906,-77.0276,17,56
65,38.9084,-77.0255,35,52
66,38.9027,-77.0379,65,89
67,38.9003,-77.0361,64,78
68,38.9043,-77.0395,76,107
69,38.911,-77.0428,31,64
70,38.9005,-77.0315,94,105
71,38.9165,-77.0436,84,126
72,38.913,-77.0347,86,111
73,38.9197,-77.0429,66,82
74,38.9118,-77.0274,90,132
75,38.9127,-77.0398,66,77
76,38.9157,-77.0304,19,56
77,38.9022,-77.0443,49,85
78,38.9195,-77.0439,61,110
79,38.9087,-77.0446,41,88
80,38.9155,-77.0444,77,87
81,38.9199,-77.0254,18,42
82,38.9135,-77.0317,66,108
83,38.9058,-77.0327,40,83
84,38.9142,-77.0393,95,145
85,38.908,-77.0363,63,89
86,38.9095,-77.041,96,125
87,38.9048,-77.0306,80,128
88,38.9036,-77.0296,79,116
89,38.9071,-77.0295,100,145
90,38.901,-77.0259,21,43
91,38.9091,-77.0293,56,77
92,38.9144,-77.0394,5,38
93,38.9161,-77.03,38,77
94,38.9023,-77.0398,28,69
95,38.9151,-77.0366,27,68
96,38.9005,-77.0287,95,138
97,38.901,-77.0389,49,63
98,38.9155,-77.026,21,61
99,38.9091,-77.0293,93,136
100,38.9183,-77.0274,13,40
101,38.918,-77.0251,71,103
102,38.9032,-77.0355,78,114
103,38.9195,-77.0302,15,50
104,38.9062,-77.037,56,98
105,38.9188,-77.0327,22,39
106,38.9149,-77.0439,28,76
107,38.9037,-77.0253,83,107
